Id,OverallQual,YearBuilt,TotalBsmtSF,Electrical,GrLivArea,FullBath,GarageType,GarageCars,GarageArea,Fence,MiscFeature,SalePrice
1,7,2003,856,SBrkr,1710,2,Attchd,2,548,NA,NA,208500
2,6,1976,1262,SBrkr,1262,2,Attchd,2,460,NA,NA,181500
3,7,2001,920,SBrkr,1786,2,Attchd,2,608,NA,NA,223500
4,7,1915,756,SBrkr,1717,1,Detchd,3,642,NA,NA,140000
5,8,2000,1145,SBrkr,2198,2,Attchd,3,836,NA,NA,250000
6,5,1993,796,SBrkr,1362,1,Attchd,2,480,MnPrv,Shed,143000
7,8,2004,1686,SBrkr,1694,2,Attchd,2,636,NA,NA,307000
8,7,1973,1107,SBrkr,2090,2,Attchd,2,484,NA,Shed,200000
9,5,1939,991,SBrkr,1077,1,NA,1,205,NA,NA,118000
10,5,1965,1040,SBrkr,1040,1,Detchd,1,384,NA,NA,129500
11,9,2005,1175,SBrkr,2324,3,BuiltIn,3,736,NA,NA,345000
12,5,1962,912,SBrkr,912,1,Detchd,1,352,NA,NA,144000
13,7,2006,1494,SBrkr,1494,2,Attchd,3,840,NA,NA,279500
14,6,1960,1253,SBrkr,1253,1,Attchd,1,352,GdWo,NA,157000
15,7,1929,832,FuseA,854,1,Detchd,2,576,GdPrv,NA,132000
16,6,1970,1004,SBrkr,1004,1,Attchd,2,480,NA,Shed,149000
17,4,1967,0,SBrkr,1296,2,CarPort,2,516,NA,Shed,90000
18,5,1958,1029,SBrkr,1339,1,Attchd,1,294,MnPrv,NA,139000
19,8,2005,1158,SBrkr,2376,3,BuiltIn,3,853,NA,NA,325300
20,7,1930,637,FuseF,1108,1,Attchd,1,280,GdPrv,NA,139400
21,8,2002,1777,SBrkr,1795,2,Attchd,2,534,NA,NA,230000
22,5,1976,1040,SBrkr,1060,1,Attchd,2,572,NA,NA,129900
23,5,1968,1060,SBrkr,1060,1,NA,1,270,MnPrv,NA,154000
24,8,2007,1566,SBrkr,1600,2,Attchd,3,890,NA,NA,256300
25,5,1951,900,SBrkr,900,1,Detchd,2,576,NA,NA,134800
26,8,2007,1704,SBrkr,1704,2,Attchd,3,772,NA,NA,306000
27,5,1957,1484,SBrkr,1600,1,NA,1,319,NA,NA,207500
